Sold Option Buy-to-Close Report - Option Scanner
Underlying: UMC
Strike: 11.0
Expiration: 2026-02-20
Type: put
Sold Date: 2026-01-28
Sold Price: 0.75
Total Trading Days: 17
Timestamp: 2026-01-28T17:00:07.725048700

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2026-01-28   1          0.70         0.66        
2026-01-29   2          0.66         0.57        
2026-01-30   3          0.61         0.48        
2026-02-02   4          0.57         0.39        
2026-02-03   5          0.52         0.30        
2026-02-04   6          0.48         0.22        
2026-02-05   7          0.44         0.13        
2026-02-06   8          0.39         0.04        
2026-02-09   9          0.35         0.15        
2026-02-10   10         0.30         0.08        
2026-02-11   11         0.26         0.02        
2026-02-12   12         0.22         0.08        
2026-02-13   13         0.17         0.03        
2026-02-17   14         0.13         0.05        
2026-02-18   15         0.08         0.04        
2026-02-19   16         0.04         0.02        
2026-02-20   17         0.00         0.00        
