Sold Option Buy-to-Close Report - Option Scanner
Underlying: WOLF
Strike: 0.5
Expiration: 2026-01-16
Type: put
Sold Date: 2025-08-08
Sold Price: 0.20
Total Trading Days: 112
Timestamp: 2025-09-04T07:00:57.792121100

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-08-08   1          0.19         0.19        
2025-08-11   2          0.19         0.19        
2025-08-12   3          0.19         0.18        
2025-08-13   4          0.19         0.18        
2025-08-14   5          0.19         0.18        
2025-08-15   6          0.18         0.17        
2025-08-18   7          0.18         0.17        
2025-08-19   8          0.18         0.17        
2025-08-20   9          0.18         0.16        
2025-08-21   10         0.18         0.16        
2025-08-22   11         0.18         0.16        
2025-08-25   12         0.17         0.15        
2025-08-26   13         0.17         0.15        
2025-08-27   14         0.17         0.15        
2025-08-28   15         0.17         0.14        
2025-08-29   16         0.17         0.14        
2025-09-02   17         0.16         0.13        
2025-09-03   18         0.16         0.13        
2025-09-04   19         0.16         0.13        
2025-09-05   20         0.16         0.12        
2025-09-08   21         0.16         0.12        
2025-09-09   22         0.16         0.12        
2025-09-10   23         0.15         0.11        
2025-09-11   24         0.15         0.11        
2025-09-12   25         0.15         0.11        
2025-09-15   26         0.15         0.10        
2025-09-16   27         0.15         0.10        
2025-09-17   28         0.15         0.10        
2025-09-18   29         0.14         0.09        
2025-09-19   30         0.14         0.09        
2025-09-22   31         0.14         0.08        
2025-09-23   32         0.14         0.08        
2025-09-24   33         0.14         0.08        
2025-09-25   34         0.13         0.07        
2025-09-26   35         0.13         0.07        
2025-09-29   36         0.13         0.07        
2025-09-30   37         0.13         0.06        
2025-10-01   38         0.13         0.06        
2025-10-02   39         0.13         0.06        
2025-10-03   40         0.12         0.05        
2025-10-06   41         0.12         0.05        
2025-10-07   42         0.12         0.05        
2025-10-08   43         0.12         0.04        
2025-10-09   44         0.12         0.04        
2025-10-10   45         0.11         0.03        
2025-10-13   46         0.11         0.03        
2025-10-14   47         0.11         0.03        
2025-10-15   48         0.11         0.02        
2025-10-16   49         0.11         0.02        
2025-10-17   50         0.11         0.02        
2025-10-20   51         0.10         0.01        
2025-10-21   52         0.10         0.01        
2025-10-22   53         0.10         0.01        
2025-10-23   54         0.10         0.05        
2025-10-24   55         0.10         0.05        
2025-10-27   56         0.10         0.05        
2025-10-28   57         0.09         0.04        
2025-10-29   58         0.09         0.04        
2025-10-30   59         0.09         0.04        
2025-10-31   60         0.09         0.03        
2025-11-03   61         0.09         0.03        
2025-11-04   62         0.08         0.03        
2025-11-05   63         0.08         0.03        
2025-11-06   64         0.08         0.02        
2025-11-07   65         0.08         0.02        
2025-11-10   66         0.08         0.02        
2025-11-11   67         0.08         0.02        
2025-11-12   68         0.07         0.01        
2025-11-13   69         0.07         0.01        
2025-11-14   70         0.07         0.01        
2025-11-17   71         0.07         0.04        
2025-11-18   72         0.07         0.03        
2025-11-19   73         0.06         0.03        
2025-11-20   74         0.06         0.03        
2025-11-21   75         0.06         0.03        
2025-11-24   76         0.06         0.03        
2025-11-25   77         0.06         0.02        
2025-11-26   78         0.06         0.02        
2025-11-28   79         0.05         0.02        
2025-12-01   80         0.05         0.02        
2025-12-02   81         0.05         0.01        
2025-12-03   82         0.05         0.01        
2025-12-04   83         0.05         0.01        
2025-12-05   84         0.05         0.01        
2025-12-08   85         0.04         0.01        
2025-12-09   86         0.04         0.02        
2025-12-10   87         0.04         0.02        
2025-12-11   88         0.04         0.02        
2025-12-12   89         0.04         0.02        
2025-12-15   90         0.03         0.01        
2025-12-16   91         0.03         0.01        
2025-12-17   92         0.03         0.01        
2025-12-18   93         0.03         0.01        
2025-12-19   94         0.03         0.01        
2025-12-22   95         0.03         0.02        
2025-12-23   96         0.02         0.01        
2025-12-24   97         0.02         0.01        
2025-12-26   98         0.02         0.01        
2025-12-29   99         0.02         0.01        
2025-12-30   100        0.02         0.01        
2025-12-31   101        0.01         0.01        
2026-01-02   102        0.01         0.01        
2026-01-05   103        0.01         0.01        
2026-01-06   104        0.01         0.01        
2026-01-07   105        0.01         0.01        
2026-01-08   106        0.01         0.01        
2026-01-09   107        0.00         0.00        
2026-01-12   108        0.00         0.00        
2026-01-13   109        0.00         0.00        
2026-01-14   110        0.00         0.00        
2026-01-15   111        0.00         0.00        
2026-01-16   112        0.00         0.00        
