Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-02T04:45:18.316887700
Total Options: 97

These are tier 1 options:
Underlying: TSM | Expiration: 05-Dec-25 | Strike: 285.00 | Previous Close: 3.00 | Adjusted PE: 0.64 | Yield: 0.26%
Underlying: TSM | Expiration: 12-Dec-25 | Strike: 285.00 | Previous Close: 5.90 | Adjusted PE: 0.64 | Yield: 0.23%
Underlying: TSM | Expiration: 05-Dec-25 | Strike: 287.50 | Previous Close: 3.85 | Adjusted PE: 0.64 | Yield: 0.33%
Underlying: TSM | Expiration: 12-Dec-25 | Strike: 287.50 | Previous Close: 7.00 | Adjusted PE: 0.64 | Yield: 0.27%
Underlying: COP | Expiration: 05-Dec-25 | Strike: 90.00 | Previous Close: 1.03 | Adjusted PE: 4.96 | Yield: 0.28%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 49.00 | Previous Close: 0.58 | Adjusted PE: 7.36 | Yield: 0.29%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 49.00 | Previous Close: 1.69 | Adjusted PE: 7.36 | Yield: 0.25%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 49.50 | Previous Close: 0.75 | Adjusted PE: 7.44 | Yield: 0.37%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 49.50 | Previous Close: 1.18 | Adjusted PE: 7.44 | Yield: 0.26%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 49.50 | Previous Close: 1.83 | Adjusted PE: 7.44 | Yield: 0.26%
Underlying: ON | Expiration: 05-Dec-25 | Strike: 50.00 | Previous Close: 0.95 | Adjusted PE: 7.51 | Yield: 0.47%
Underlying: ON | Expiration: 12-Dec-25 | Strike: 50.00 | Previous Close: 1.55 | Adjusted PE: 7.51 | Yield: 0.34%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 50.00 | Previous Close: 1.97 | Adjusted PE: 7.51 | Yield: 0.28%
Underlying: ACLS | Expiration: 19-Dec-25 | Strike: 80.00 | Previous Close: 2.66 | Adjusted PE: 8.21 | Yield: 0.24%
Underlying: REGN | Expiration: 05-Dec-25 | Strike: 750.00 | Previous Close: 8.20 | Adjusted PE: 8.30 | Yield: 0.27%
Underlying: META | Expiration: 05-Dec-25 | Strike: 637.50 | Previous Close: 6.15 | Adjusted PE: 11.61 | Yield: 0.24%
Underlying: META | Expiration: 05-Dec-25 | Strike: 640.00 | Previous Close: 7.18 | Adjusted PE: 11.66 | Yield: 0.28%
Underlying: ALGN | Expiration: 05-Dec-25 | Strike: 145.00 | Previous Close: 1.65 | Adjusted PE: 12.07 | Yield: 0.28%
Underlying: ALGN | Expiration: 05-Dec-25 | Strike: 146.00 | Previous Close: 2.05 | Adjusted PE: 12.15 | Yield: 0.35%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 402.50 | Previous Close: 10.30 | Adjusted PE: 14.05 | Yield: 0.28%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 405.00 | Previous Close: 10.80 | Adjusted PE: 14.13 | Yield: 0.30%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 405.00 | Previous Close: 14.26 | Adjusted PE: 14.13 | Yield: 0.25%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 407.50 | Previous Close: 11.20 | Adjusted PE: 14.22 | Yield: 0.31%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 410.00 | Previous Close: 9.30 | Adjusted PE: 14.31 | Yield: 0.25%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 415.00 | Previous Close: 11.15 | Adjusted PE: 14.48 | Yield: 0.30%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 415.00 | Previous Close: 13.60 | Adjusted PE: 14.48 | Yield: 0.23%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 417.50 | Previous Close: 15.20 | Adjusted PE: 14.57 | Yield: 0.40%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 420.00 | Previous Close: 12.50 | Adjusted PE: 14.66 | Yield: 0.33%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 420.00 | Previous Close: 15.10 | Adjusted PE: 14.66 | Yield: 0.26%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 422.50 | Previous Close: 17.81 | Adjusted PE: 14.74 | Yield: 0.47%
Underlying: SNPS | Expiration: 12-Dec-25 | Strike: 425.00 | Previous Close: 15.70 | Adjusted PE: 14.83 | Yield: 0.41%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 425.00 | Previous Close: 17.07 | Adjusted PE: 14.83 | Yield: 0.29%
