Error Report - Option Scanner Revenue Data Fetch
Failed to fetch stock price for symbol: REX
Failed to fetch stock price for symbol: SAMG
Failed to fetch stock price for symbol: AYI
Failed to fetch stock price for symbol: CPF
Failed to fetch stock price for symbol: MTX
Failed to fetch stock price for symbol: NPO
Failed to fetch stock price for symbol: MMYT
Failed to fetch stock price for symbol: QNST
Failed to fetch stock price for symbol: KTCC
Failed to fetch stock price for symbol: CIGI
Failed to fetch stock price for symbol: SCHL
Failed to fetch stock price for symbol: INBX
Failed to fetch stock price for symbol: CELU
Failed to fetch stock price for symbol: CAI
Failed to fetch stock price for symbol: BWEN
Failed to fetch stock price for symbol: CLGN
Failed to fetch stock price for symbol: CRSP
Failed to fetch stock price for symbol: CTRI
Failed to fetch stock price for symbol: CRML
Failed to fetch stock price for symbol: CODX
Failed to fetch stock price for symbol: META
Failed to fetch stock price for symbol: MEOH
Failed to fetch stock price for symbol: MEI
Failed to fetch stock price for symbol: CURV
Failed to fetch stock price for symbol: DIBS
Failed to fetch stock price for symbol: MEDP
Failed to fetch stock price for symbol: DKL
Failed to fetch stock price for symbol: DFDV
Failed to fetch stock price for symbol: DLPN
Failed to fetch stock price for symbol: DOYU
Failed to fetch stock price for symbol: EC
Failed to fetch stock price for symbol: EARN
Failed to fetch stock price for symbol: MDXG
Failed to fetch stock price for symbol: EQ
Failed to fetch stock price for symbol: MDWD
Failed to fetch stock price for symbol: FBIO
Failed to fetch stock price for symbol: FTFT
Failed to fetch stock price for symbol: GLBS
Failed to fetch stock price for symbol: GORO
Failed to fetch stock price for symbol: GSIT
Failed to fetch stock price for symbol: GASS
Failed to fetch stock price for symbol: CUK
Failed to fetch stock price for symbol: GEVO
Failed to fetch stock price for symbol: MCO
Failed to fetch stock price for symbol: LHX
Failed to fetch stock price for symbol: INMB
Failed to fetch stock price for symbol: HCM
Failed to fetch stock price for symbol: CYN
Failed to fetch stock price for symbol: MLSS
Failed to fetch stock price for symbol: ALXO
Failed to fetch stock price for symbol: HRZN
Failed to fetch stock price for symbol: NRGV
Failed to fetch stock price for symbol: PDYN
Failed to fetch stock price for symbol: PACB
Failed to fetch stock price for symbol: PRME
Failed to fetch stock price for symbol: PRSO
Failed to fetch stock price for symbol: PSIX
