Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-14T04:32:15.723391
Total Errors: 1920

Failed to fetch stock price for symbol: ORIC
Failed to fetch stock price for symbol: VVOS
Failed to fetch stock price for symbol: ORMP
Failed to fetch stock price for symbol: OSS
Failed to fetch stock price for symbol: OZK
Failed to fetch stock price for symbol: ORLA
Failed to fetch stock price for symbol: PDD
Failed to fetch stock price for symbol: OSUR
Failed to fetch stock price for symbol: PAHC
Failed to fetch stock price for symbol: OPRX
Failed to fetch stock price for symbol: PACK
Failed to fetch stock price for symbol: PAGP
Failed to fetch stock price for symbol: PAAS
Failed to fetch stock price for symbol: OXM
Failed to fetch stock price for symbol: PAG
Failed to fetch stock price for symbol: ORA
Failed to fetch stock price for symbol: OS
Failed to fetch stock price for symbol: PDLB
Failed to fetch stock price for symbol: OXY
Failed to fetch stock price for symbol: OTEX
Failed to fetch stock price for symbol: PDM
Failed to fetch stock price for symbol: PASG
Failed to fetch stock price for symbol: PCTY
Failed to fetch stock price for symbol: PHIN
Failed to fetch stock price for symbol: RXRX
Failed to fetch stock price for symbol: ALT
Failed to fetch stock price for symbol: PENN
Failed to fetch stock price for symbol: PENG
Failed to fetch stock price for symbol: PGR
Failed to fetch stock price for symbol: MCRB
Failed to fetch stock price for symbol: WSO
Failed to fetch stock price for symbol: PGRE
Failed to fetch stock price for symbol: PEP
Failed to fetch stock price for symbol: WT
Failed to fetch stock price for symbol: PDSB
Failed to fetch stock price for symbol: CADL
Failed to fetch stock price for symbol: WTS
Failed to fetch stock price for symbol: PHG
Failed to fetch stock price for symbol: PBH
Failed to fetch stock price for symbol: PEGA
Failed to fetch stock price for symbol: WST
Failed to fetch stock price for symbol: PLBY
Failed to fetch stock price for symbol: PLAB
Failed to fetch stock price for symbol: POST
Failed to fetch stock price for symbol: PKBK
Failed to fetch stock price for symbol: WIX
Failed to fetch stock price for symbol: PPG
Failed to fetch stock price for symbol: PCVX
Failed to fetch stock price for symbol: PNNT
Failed to fetch stock price for symbol: POWW
Failed to fetch stock price for symbol: POR
Failed to fetch stock price for symbol: PHR
Failed to fetch stock price for symbol: PNFP
Failed to fetch stock price for symbol: PLRX
Failed to fetch stock price for symbol: PLTR
Failed to fetch stock price for symbol: PINE
Failed to fetch stock price for symbol: PFLT
Failed to fetch stock price for symbol: PCOR
