Error Report - Option Scanner Revenue Data Fetch
Timestamp: 2025-12-12T04:34:24.178764700
Total Errors: 2123

Failed to fetch stock price for symbol: OMI
Failed to fetch stock price for symbol: PDD
Failed to fetch stock price for symbol: ORIC
Failed to fetch stock price for symbol: PASG
Failed to fetch stock price for symbol: PD
Failed to fetch stock price for symbol: OSW
Failed to fetch stock price for symbol: ORMP
Failed to fetch stock price for symbol: OXM
Failed to fetch stock price for symbol: PACK
Failed to fetch stock price for symbol: PANL
Failed to fetch stock price for symbol: ORLA
Failed to fetch stock price for symbol: ORA
Failed to fetch stock price for symbol: OSCR
Failed to fetch stock price for symbol: OTEX
Failed to fetch stock price for symbol: PAGP
Failed to fetch stock price for symbol: PAHC
Failed to fetch stock price for symbol: PAGS
Failed to fetch stock price for symbol: OSS
Failed to fetch stock price for symbol: OXY
Failed to fetch stock price for symbol: ORN
Failed to fetch stock price for symbol: PDLB
Failed to fetch stock price for symbol: OR
Failed to fetch stock price for symbol: PGRE
Failed to fetch stock price for symbol: PDS
Failed to fetch stock price for symbol: QMCO
Failed to fetch stock price for symbol: PGR
Failed to fetch stock price for symbol: PEN
Failed to fetch stock price for symbol: WTS
Failed to fetch stock price for symbol: PFGC
Failed to fetch stock price for symbol: PERI
Failed to fetch stock price for symbol: PHIN
Failed to fetch stock price for symbol: WST
Failed to fetch stock price for symbol: WTFC
Failed to fetch stock price for symbol: PFBC
Failed to fetch stock price for symbol: PENG
Failed to fetch stock price for symbol: PFG
Failed to fetch stock price for symbol: PCTY
Failed to fetch stock price for symbol: PBH
Failed to fetch stock price for symbol: PFS
Failed to fetch stock price for symbol: PBA
Failed to fetch stock price for symbol: WTBA
Failed to fetch stock price for symbol: MCRB
Failed to fetch stock price for symbol: RXRX
Failed to fetch stock price for symbol: CADL
Failed to fetch stock price for symbol: PLOW
Failed to fetch stock price for symbol: PLTR
Failed to fetch stock price for symbol: PFLT
Failed to fetch stock price for symbol: PCOR
Failed to fetch stock price for symbol: PKBK
Failed to fetch stock price for symbol: PPC
Failed to fetch stock price for symbol: PHM
Failed to fetch stock price for symbol: PHR
Failed to fetch stock price for symbol: PONY
Failed to fetch stock price for symbol: PINS
Failed to fetch stock price for symbol: PK
Failed to fetch stock price for symbol: PM
Failed to fetch stock price for symbol: POR
Failed to fetch stock price for symbol: PCVX
Failed to fetch stock price for symbol: WK
Failed to fetch stock price for symbol: PNNT
Failed to fetch stock price for symbol: PRTH
Failed to fetch stock price for symbol: PXLW
Failed to fetch stock price for symbol: PRQR
Failed to fetch stock price for symbol: PRIM
Failed to fetch stock price for symbol: PRTA
Failed to fetch stock price for symbol: PRG
Failed to fetch stock price for symbol: PRCH
Failed to fetch stock price for symbol: PUBM
Failed to fetch stock price for symbol: PRMB
Failed to fetch stock price for symbol: PTGX
Failed to fetch stock price for symbol: BURU
Failed to fetch stock price for symbol: PRDO
Failed to fetch stock price for symbol: PSN
Failed to fetch stock price for symbol: PR
Failed to fetch stock price for symbol: PUMP
Failed to fetch stock price for symbol: PTC
Failed to fetch stock price for symbol: PWR
Failed to fetch stock price for symbol: PZZA
Failed to fetch stock price for symbol: SMWB
Failed to fetch stock price for symbol: RC
Failed to fetch stock price for symbol: RAPP
Failed to fetch stock price for symbol: QTWO
Failed to fetch stock price for symbol: RAPT
Failed to fetch stock price for symbol: WMG
Failed to fetch stock price for symbol: QS
Failed to fetch stock price for symbol: QSR
Failed to fetch stock price for symbol: QTRX
Failed to fetch stock price for symbol: QUAD
Failed to fetch stock price for symbol: QLYS
Failed to fetch stock price for symbol: RCL
Failed to fetch stock price for symbol: WLK
Failed to fetch stock price for symbol: RCI
Failed to fetch stock price for symbol: QVCGA
Failed to fetch stock price for symbol: WMB
Failed to fetch stock price for symbol: WTW
Failed to fetch stock price for symbol: WU
Failed to fetch stock price for symbol: WULF
Failed to fetch stock price for symbol: RIO
Failed to fetch stock price for symbol: RSI
Failed to fetch stock price for symbol: WPRT
Failed to fetch stock price for symbol: WSC
Failed to fetch stock price for symbol: RSKD
Failed to fetch stock price for symbol: WRAP
Failed to fetch stock price for symbol: WSBC
Failed to fetch stock price for symbol: WPC
Failed to fetch stock price for symbol: WSBF
Failed to fetch stock price for symbol: WS
Failed to fetch stock price for symbol: WRB
Failed to fetch stock price for symbol: WKSP
Failed to fetch stock price for symbol: RRR
Failed to fetch stock price for symbol: ROP
Failed to fetch stock price for symbol: ROST
Failed to fetch stock price for symbol: SBAC
Failed to fetch stock price for symbol: VINP
Failed to fetch stock price for symbol: SANM
Failed to fetch stock price for symbol: RYN
Failed to fetch stock price for symbol: SBSW
Failed to fetch stock price for symbol: VOC
Failed to fetch stock price for symbol: SCCO
Failed to fetch stock price for symbol: SBCF
Failed to fetch stock price for symbol: SATS
Failed to fetch stock price for symbol: SBS
Failed to fetch stock price for symbol: VERI
Failed to fetch stock price for symbol: SBUX
Failed to fetch stock price for symbol: SB
Failed to fetch stock price for symbol: VRAR
Failed to fetch stock price for symbol: RZLT
Failed to fetch stock price for symbol: VGZ
Failed to fetch stock price for symbol: SAN
Failed to fetch stock price for symbol: TXMD
Failed to fetch stock price for symbol: SCHW
Failed to fetch stock price for symbol: SCOR
Failed to fetch stock price for symbol: WOW
Failed to fetch stock price for symbol: ULBI
Failed to fetch stock price for symbol: WOR
Failed to fetch stock price for symbol: SFM
Failed to fetch stock price for symbol: SFL
Failed to fetch stock price for symbol: SGHT
Failed to fetch stock price for symbol: TRAW
Failed to fetch stock price for symbol: TPST
Failed to fetch stock price for symbol: TLYS
Failed to fetch stock price for symbol: SGI
Failed to fetch stock price for symbol: FISV
Failed to fetch stock price for symbol: SEI
Failed to fetch stock price for symbol: SHLS
Failed to fetch stock price for symbol: SHBI
Failed to fetch stock price for symbol: SF
Failed to fetch stock price for symbol: TOON
Failed to fetch stock price for symbol: SFBS
Failed to fetch stock price for symbol: TRMD
Failed to fetch stock price for symbol: SEVN
Failed to fetch stock price for symbol: TASK
Failed to fetch stock price for symbol: SKWD
Failed to fetch stock price for symbol: SKY
Failed to fetch stock price for symbol: SKYT
Failed to fetch stock price for symbol: SKLZ
Failed to fetch stock price for symbol: SIGA
Failed to fetch stock price for symbol: LXP
Failed to fetch stock price for symbol: SKM
Failed to fetch stock price for symbol: SJM
Failed to fetch stock price for symbol: SIRI
Failed to fetch stock price for symbol: SITC
Failed to fetch stock price for symbol: SJT
Failed to fetch stock price for symbol: TEO
Failed to fetch stock price for symbol: SHW
Failed to fetch stock price for symbol: SHOP
Failed to fetch stock price for symbol: SLB
Failed to fetch stock price for symbol: SURG
Failed to fetch stock price for symbol: SLRC
Failed to fetch stock price for symbol: SMP
Failed to fetch stock price for symbol: SMCI
Failed to fetch stock price for symbol: SLDP
Failed to fetch stock price for symbol: SPH
Failed to fetch stock price for symbol: SMR
Failed to fetch stock price for symbol: SLM
Failed to fetch stock price for symbol: SLVM
Failed to fetch stock price for symbol: SMRT
Failed to fetch stock price for symbol: SRXH
Failed to fetch stock price for symbol: BRR
Failed to fetch stock price for symbol: SLG
Failed to fetch stock price for symbol: SIEB
Failed to fetch stock price for symbol: SONO
Failed to fetch stock price for symbol: SNOW
Failed to fetch stock price for symbol: SNDX
Failed to fetch stock price for symbol: SNBR
Failed to fetch stock price for symbol: SPB
Failed to fetch stock price for symbol: SNDL
Failed to fetch stock price for symbol: SNX
Failed to fetch stock price for symbol: SNPS
Failed to fetch stock price for symbol: SOLV
Failed to fetch stock price for symbol: SOC
Failed to fetch stock price for symbol: SOFI
Failed to fetch stock price for symbol: SNDK
Failed to fetch stock price for symbol: SMMT
Failed to fetch stock price for symbol: SPCE
Failed to fetch stock price for symbol: SPHR
Failed to fetch stock price for symbol: SGLY
Failed to fetch stock price for symbol: TFX
Failed to fetch stock price for symbol: SES
Failed to fetch stock price for symbol: SHIP
Failed to fetch stock price for symbol: SERV
Failed to fetch stock price for symbol: SLGL
Failed to fetch stock price for symbol: SKYH
Failed to fetch stock price for symbol: SEPN
Failed to fetch stock price for symbol: SPRU
Failed to fetch stock price for symbol: SSTI
Failed to fetch stock price for symbol: STZ
Failed to fetch stock price for symbol: STAA
Failed to fetch stock price for symbol: STXS
Failed to fetch stock price for symbol: SVC
Failed to fetch stock price for symbol: SSRM
Failed to fetch stock price for symbol: SRAD
Failed to fetch stock price for symbol: STOK
Failed to fetch stock price for symbol: SVM
Failed to fetch stock price for symbol: SRTS
Failed to fetch stock price for symbol: SRPT
Failed to fetch stock price for symbol: SW
Failed to fetch stock price for symbol: STAG
Failed to fetch stock price for symbol: STRA
Failed to fetch stock price for symbol: SSL
Failed to fetch stock price for symbol: STRZ
Failed to fetch stock price for symbol: STNG
Failed to fetch stock price for symbol: STNE
Failed to fetch stock price for symbol: SSD
Failed to fetch stock price for symbol: ST
Failed to fetch stock price for symbol: STT
Failed to fetch stock price for symbol: SUPV
Failed to fetch stock price for symbol: TBBK
Failed to fetch stock price for symbol: TEX
Failed to fetch stock price for symbol: TDW
Failed to fetch stock price for symbol: TFIN
Failed to fetch stock price for symbol: TECK
Failed to fetch stock price for symbol: TD
Failed to fetch stock price for symbol: SCYX
Failed to fetch stock price for symbol: TDUP
Failed to fetch stock price for symbol: TALK
Failed to fetch stock price for symbol: TECH
Failed to fetch stock price for symbol: TEL
Failed to fetch stock price for symbol: TER
Failed to fetch stock price for symbol: TEN
Failed to fetch stock price for symbol: TDS
Failed to fetch stock price for symbol: SCLX
Failed to fetch stock price for symbol: TELA
Failed to fetch stock price for symbol: TDY
Failed to fetch stock price for symbol: SYRE
Failed to fetch stock price for symbol: BBNX
Failed to fetch stock price for symbol: QUBT
Failed to fetch stock price for symbol: SWX
Failed to fetch stock price for symbol: TRNO
Failed to fetch stock price for symbol: TEVA
Failed to fetch stock price for symbol: TKR
Failed to fetch stock price for symbol: TMCI
Failed to fetch stock price for symbol: TPL
Failed to fetch stock price for symbol: TPC
Failed to fetch stock price for symbol: TLS
Failed to fetch stock price for symbol: TGLS
Failed to fetch stock price for symbol: TIGO
