Sold Option Buy-to-Close Report - Option Scanner
Underlying: WOLF
Strike: 0.5
Expiration: 2025-09-19
Type: put
Sold Date: 2025-07-22
Sold Price: 0.09
Total Trading Days: 43
Timestamp: 2025-07-22T11:10:45.911624600

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-07-22   1          0.08         0.08        
2025-07-23   2          0.08         0.08        
2025-07-24   3          0.08         0.07        
2025-07-25   4          0.08         0.07        
2025-07-28   5          0.07         0.06        
2025-07-29   6          0.07         0.06        
2025-07-30   7          0.07         0.06        
2025-07-31   8          0.07         0.05        
2025-08-01   9          0.07         0.05        
2025-08-04   10         0.06         0.04        
2025-08-05   11         0.06         0.04        
2025-08-06   12         0.06         0.03        
2025-08-07   13         0.06         0.03        
2025-08-08   14         0.06         0.03        
2025-08-11   15         0.05         0.02        
2025-08-12   16         0.05         0.02        
2025-08-13   17         0.05         0.01        
2025-08-14   18         0.05         0.01        
2025-08-15   19         0.05         0.01        
2025-08-18   20         0.04         0.02        
2025-08-19   21         0.04         0.02        
2025-08-20   22         0.04         0.02        
2025-08-21   23         0.04         0.01        
2025-08-22   24         0.03         0.01        
2025-08-25   25         0.03         0.01        
2025-08-26   26         0.03         0.02        
2025-08-27   27         0.03         0.01        
2025-08-28   28         0.03         0.01        
2025-08-29   29         0.02         0.01        
2025-09-02   30         0.02         0.01        
2025-09-03   31         0.02         0.01        
2025-09-04   32         0.02         0.01        
2025-09-05   33         0.02         0.01        
2025-09-08   34         0.01         0.01        
2025-09-09   35         0.01         0.01        
2025-09-10   36         0.01         0.01        
2025-09-11   37         0.01         0.01        
2025-09-12   38         0.01         0.01        
2025-09-15   39         0.00         0.00        
2025-09-16   40         0.00         0.00        
2025-09-17   41         0.00         0.00        
2025-09-18   42         0.00         0.00        
2025-09-19   43         0.00         0.00        
