Sold Option Buy-to-Close Report - Option Scanner
Underlying: NPWR
Strike: 1.0
Expiration: 2027-01-15
Type: put
Sold Date: 2025-09-19
Sold Price: 0.10
Total Trading Days: 333
Timestamp: 2025-10-21T07:31:03.600302600

Date         Days Held  Linear BTC   Accel BTC   
---------------------------------------------------------
2025-09-19   1          0.09         0.09        
2025-09-22   2          0.09         0.09        
2025-09-23   3          0.09         0.09        
2025-09-24   4          0.09         0.09        
2025-09-25   5          0.09         0.09        
2025-09-26   6          0.09         0.09        
2025-09-29   7          0.09         0.09        
2025-09-30   8          0.09         0.09        
2025-10-01   9          0.09         0.09        
2025-10-02   10         0.09         0.09        
2025-10-03   11         0.09         0.09        
2025-10-06   12         0.09         0.09        
2025-10-07   13         0.09         0.09        
2025-10-08   14         0.09         0.09        
2025-10-09   15         0.09         0.09        
2025-10-10   16         0.09         0.09        
2025-10-13   17         0.09         0.08        
2025-10-14   18         0.09         0.08        
2025-10-15   19         0.09         0.08        
2025-10-16   20         0.09         0.08        
2025-10-17   21         0.09         0.08        
2025-10-20   22         0.09         0.08        
2025-10-21   23         0.09         0.08        
2025-10-22   24         0.09         0.08        
2025-10-23   25         0.09         0.08        
2025-10-24   26         0.09         0.08        
2025-10-27   27         0.09         0.08        
2025-10-28   28         0.09         0.08        
2025-10-29   29         0.09         0.08        
2025-10-30   30         0.09         0.08        
2025-10-31   31         0.09         0.08        
2025-11-03   32         0.09         0.08        
2025-11-04   33         0.09         0.08        
2025-11-05   34         0.08         0.07        
2025-11-06   35         0.08         0.07        
2025-11-07   36         0.08         0.07        
2025-11-10   37         0.08         0.07        
2025-11-11   38         0.08         0.07        
2025-11-12   39         0.08         0.07        
2025-11-13   40         0.08         0.07        
2025-11-14   41         0.08         0.07        
2025-11-17   42         0.08         0.07        
2025-11-18   43         0.08         0.07        
2025-11-19   44         0.08         0.07        
2025-11-20   45         0.08         0.07        
2025-11-21   46         0.08         0.07        
2025-11-24   47         0.08         0.07        
2025-11-25   48         0.08         0.07        
2025-11-26   49         0.08         0.07        
2025-11-28   50         0.08         0.06        
2025-12-01   51         0.08         0.06        
2025-12-02   52         0.08         0.06        
2025-12-03   53         0.08         0.06        
2025-12-04   54         0.08         0.06        
2025-12-05   55         0.08         0.06        
2025-12-08   56         0.08         0.06        
2025-12-09   57         0.08         0.06        
2025-12-10   58         0.08         0.06        
2025-12-11   59         0.08         0.06        
2025-12-12   60         0.08         0.06        
2025-12-15   61         0.08         0.06        
2025-12-16   62         0.08         0.06        
2025-12-17   63         0.08         0.06        
2025-12-18   64         0.08         0.06        
2025-12-19   65         0.08         0.06        
2025-12-22   66         0.08         0.06        
2025-12-23   67         0.07         0.05        
2025-12-24   68         0.07         0.05        
2025-12-26   69         0.07         0.05        
2025-12-29   70         0.07         0.05        
2025-12-30   71         0.07         0.05        
2025-12-31   72         0.07         0.05        
2026-01-02   73         0.07         0.05        
2026-01-05   74         0.07         0.05        
2026-01-06   75         0.07         0.05        
2026-01-07   76         0.07         0.05        
2026-01-08   77         0.07         0.05        
2026-01-09   78         0.07         0.05        
2026-01-12   79         0.07         0.05        
2026-01-13   80         0.07         0.05        
2026-01-14   81         0.07         0.05        
2026-01-15   82         0.07         0.05        
2026-01-16   83         0.07         0.05        
2026-01-20   84         0.07         0.04        
2026-01-21   85         0.07         0.04        
2026-01-22   86         0.07         0.04        
2026-01-23   87         0.07         0.04        
2026-01-26   88         0.07         0.04        
2026-01-27   89         0.07         0.04        
2026-01-28   90         0.07         0.04        
2026-01-29   91         0.07         0.04        
2026-01-30   92         0.07         0.04        
2026-02-02   93         0.07         0.04        
2026-02-03   94         0.07         0.04        
2026-02-04   95         0.07         0.04        
2026-02-05   96         0.07         0.04        
2026-02-06   97         0.07         0.04        
2026-02-09   98         0.07         0.04        
2026-02-10   99         0.07         0.04        
2026-02-11   100        0.06         0.03        
2026-02-12   101        0.06         0.03        
2026-02-13   102        0.06         0.03        
2026-02-17   103        0.06         0.03        
2026-02-18   104        0.06         0.03        
2026-02-19   105        0.06         0.03        
2026-02-20   106        0.06         0.03        
2026-02-23   107        0.06         0.03        
2026-02-24   108        0.06         0.03        
2026-02-25   109        0.06         0.03        
2026-02-26   110        0.06         0.03        
2026-02-27   111        0.06         0.03        
2026-03-02   112        0.06         0.03        
2026-03-03   113        0.06         0.03        
2026-03-04   114        0.06         0.03        
2026-03-05   115        0.06         0.03        
2026-03-06   116        0.06         0.03        
2026-03-09   117        0.06         0.02        
2026-03-10   118        0.06         0.02        
2026-03-11   119        0.06         0.02        
2026-03-12   120        0.06         0.02        
2026-03-13   121        0.06         0.02        
2026-03-16   122        0.06         0.02        
2026-03-17   123        0.06         0.02        
2026-03-18   124        0.06         0.02        
2026-03-19   125        0.06         0.02        
2026-03-20   126        0.06         0.02        
2026-03-23   127        0.06         0.02        
2026-03-24   128        0.06         0.02        
2026-03-25   129        0.06         0.02        
2026-03-26   130        0.06         0.02        
2026-03-27   131        0.06         0.02        
2026-03-30   132        0.06         0.02        
2026-03-31   133        0.06         0.02        
2026-04-01   134        0.05         0.01        
2026-04-02   135        0.05         0.01        
2026-04-06   136        0.05         0.01        
2026-04-07   137        0.05         0.01        
2026-04-08   138        0.05         0.01        
2026-04-09   139        0.05         0.01        
2026-04-10   140        0.05         0.01        
2026-04-13   141        0.05         0.01        
2026-04-14   142        0.05         0.01        
2026-04-15   143        0.05         0.01        
2026-04-16   144        0.05         0.01        
2026-04-17   145        0.05         0.01        
2026-04-20   146        0.05         0.01        
2026-04-21   147        0.05         0.01        
2026-04-22   148        0.05         0.01        
2026-04-23   149        0.05         0.01        
2026-04-24   150        0.05         0.03        
2026-04-27   151        0.05         0.03        
2026-04-28   152        0.05         0.03        
2026-04-29   153        0.05         0.03        
2026-04-30   154        0.05         0.03        
2026-05-01   155        0.05         0.03        
2026-05-04   156        0.05         0.02        
2026-05-05   157        0.05         0.02        
2026-05-06   158        0.05         0.02        
2026-05-07   159        0.05         0.02        
2026-05-08   160        0.05         0.02        
2026-05-11   161        0.05         0.02        
2026-05-12   162        0.05         0.02        
2026-05-13   163        0.05         0.02        
2026-05-14   164        0.05         0.02        
2026-05-15   165        0.05         0.02        
2026-05-18   166        0.05         0.02        
2026-05-19   167        0.04         0.02        
2026-05-20   168        0.04         0.02        
2026-05-21   169        0.04         0.02        
2026-05-22   170        0.04         0.02        
2026-05-26   171        0.04         0.02        
2026-05-27   172        0.04         0.02        
2026-05-28   173        0.04         0.02        
