Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2025-12-14T11:56:29.053631300
Total Options: 70

These are tier 1 options:
Underlying: SPNS | Expiration: 16-Jan-26 | Strike: 15.00 | Previous Close: 1.00 | Adjusted PE: 5.67 | Yield: 0.29%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 732.50 | Previous Close: 10.02 | Adjusted PE: 8.11 | Yield: 0.27%
Underlying: ON | Expiration: 19-Dec-25 | Strike: 54.00 | Previous Close: 0.94 | Adjusted PE: 8.11 | Yield: 0.34%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 735.00 | Previous Close: 10.10 | Adjusted PE: 8.13 | Yield: 0.28%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 36.00 | Previous Close: 2.10 | Adjusted PE: 8.18 | Yield: 0.25%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 36.00 | Previous Close: 0.45 | Adjusted PE: 8.18 | Yield: 0.24%
Underlying: REGN | Expiration: 19-Dec-25 | Strike: 740.00 | Previous Close: 12.60 | Adjusted PE: 8.19 | Yield: 0.34%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 37.00 | Previous Close: 0.65 | Adjusted PE: 8.41 | Yield: 0.35%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 37.00 | Previous Close: 2.50 | Adjusted PE: 8.41 | Yield: 0.29%
Underlying: SPNS | Expiration: 19-Dec-25 | Strike: 22.50 | Previous Close: 0.40 | Adjusted PE: 8.51 | Yield: 0.35%
Underlying: ACMR | Expiration: 19-Dec-25 | Strike: 38.00 | Previous Close: 1.20 | Adjusted PE: 8.63 | Yield: 0.63%
Underlying: ACMR | Expiration: 16-Jan-26 | Strike: 38.00 | Previous Close: 2.20 | Adjusted PE: 8.63 | Yield: 0.25%
Underlying: ACMR | Expiration: 20-Feb-26 | Strike: 38.00 | Previous Close: 4.20 | Adjusted PE: 8.63 | Yield: 0.24%
Underlying: ACLS | Expiration: 19-Dec-25 | Strike: 85.00 | Previous Close: 2.15 | Adjusted PE: 8.72 | Yield: 0.50%
Underlying: LNTH | Expiration: 19-Dec-25 | Strike: 65.00 | Previous Close: 1.10 | Adjusted PE: 8.75 | Yield: 0.34%
Underlying: META | Expiration: 19-Dec-25 | Strike: 640.00 | Previous Close: 7.66 | Adjusted PE: 11.66 | Yield: 0.24%
Underlying: META | Expiration: 19-Dec-25 | Strike: 642.50 | Previous Close: 8.63 | Adjusted PE: 11.70 | Yield: 0.27%
Underlying: ALGN | Expiration: 19-Dec-25 | Strike: 165.00 | Previous Close: 3.03 | Adjusted PE: 13.73 | Yield: 0.37%
Underlying: ALGN | Expiration: 26-Dec-25 | Strike: 165.00 | Previous Close: 3.50 | Adjusted PE: 13.73 | Yield: 0.24%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 442.50 | Previous Close: 5.22 | Adjusted PE: 17.95 | Yield: 0.24%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 445.00 | Previous Close: 6.05 | Adjusted PE: 18.05 | Yield: 0.27%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 447.50 | Previous Close: 6.40 | Adjusted PE: 18.15 | Yield: 0.29%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 450.00 | Previous Close: 7.80 | Adjusted PE: 18.25 | Yield: 0.35%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 450.00 | Previous Close: 9.50 | Adjusted PE: 18.25 | Yield: 0.23%
Underlying: SNPS | Expiration: 19-Dec-25 | Strike: 452.50 | Previous Close: 8.00 | Adjusted PE: 18.35 | Yield: 0.35%
Underlying: SNPS | Expiration: 26-Dec-25 | Strike: 452.50 | Previous Close: 10.60 | Adjusted PE: 18.35 | Yield: 0.26%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 320.00 | Previous Close: 4.50 | Adjusted PE: 19.00 | Yield: 0.28%
Underlying: POWL | Expiration: 19-Dec-25 | Strike: 330.00 | Previous Close: 6.40 | Adjusted PE: 19.60 | Yield: 0.39%
Underlying: POWL | Expiration: 16-Jan-26 | Strike: 330.00 | Previous Close: 18.15 | Adjusted PE: 19.60 | Yield: 0.24%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 330.00 | Previous Close: 35.40 | Adjusted PE: 19.60 | Yield: 0.23%
Underlying: RMD | Expiration: 19-Dec-25 | Strike: 250.00 | Previous Close: 2.90 | Adjusted PE: 20.22 | Yield: 0.23%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 667.50 | Previous Close: 8.57 | Adjusted PE: 27.29 | Yield: 0.26%
Underlying: INTU | Expiration: 19-Dec-25 | Strike: 670.00 | Previous Close: 8.70 | Adjusted PE: 27.40 | Yield: 0.26%
Underlying: CAMT | Expiration: 19-Dec-25 | Strike: 105.00 | Previous Close: 1.45 | Adjusted PE: 31.06 | Yield: 0.27%
Underlying: CAMT | Expiration: 19-Dec-25 | Strike: 110.00 | Previous Close: 2.55 | Adjusted PE: 32.54 | Yield: 0.46%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 171.00 | Previous Close: 2.23 | Adjusted PE: 47.64 | Yield: 0.26%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.00 | Previous Close: 2.54 | Adjusted PE: 47.92 | Yield: 0.29%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 172.50 | Previous Close: 2.69 | Adjusted PE: 48.06 | Yield: 0.31%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 172.50 | Previous Close: 3.75 | Adjusted PE: 48.06 | Yield: 0.24%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 173.00 | Previous Close: 2.89 | Adjusted PE: 48.20 | Yield: 0.33%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 174.00 | Previous Close: 3.28 | Adjusted PE: 48.48 | Yield: 0.38%
Underlying: NVDA | Expiration: 19-Dec-25 | Strike: 175.00 | Previous Close: 3.75 | Adjusted PE: 48.76 | Yield: 0.43%
Underlying: NVDA | Expiration: 26-Dec-25 | Strike: 175.00 | Previous Close: 4.78 | Adjusted PE: 48.76 | Yield: 0.30%
