Sold Option Buy-to-Close Report - Option Scanner
Underlying: KPTI
Strike: 2.5
Expiration: 2026-02-20
Type: put
Sold Date: 2025-07-22
Sold Price: 1.20
Total Trading Days: 148
Timestamp: 2025-09-26T06:44:01.549860500

Date         Days Held  Linear BTC   Accel BTC   
2025-12-31   114        0.27         0.04        
2026-01-02   115        0.26         0.03        
2026-01-05   116        0.25         0.02        
2026-01-06   117        0.25         0.01        
2026-01-07   118        0.24         0.12        
2026-01-08   119        0.23         0.11        
2026-01-09   120        0.22         0.11        
2026-01-12   121        0.21         0.10        
2026-01-13   122        0.21         0.09        
2026-01-14   123        0.20         0.08        
2026-01-15   124        0.19         0.07        
2026-01-16   125        0.18         0.06        
2026-01-20   126        0.17         0.05        
2026-01-21   127        0.17         0.04        
2026-01-22   128        0.16         0.03        
2026-01-23   129        0.15         0.02        
2026-01-26   130        0.14         0.01        
2026-01-27   131        0.13         0.01        
2026-01-28   132        0.12         0.06        
2026-01-29   133        0.12         0.05        
2026-01-30   134        0.11         0.04        
2026-02-02   135        0.10         0.03        
2026-02-03   136        0.09         0.03        
2026-02-04   137        0.08         0.02        
2026-02-05   138        0.08         0.01        
2026-02-06   139        0.07         0.03        
2026-02-09   140        0.06         0.03        
2026-02-10   141        0.05         0.02        
2026-02-11   142        0.04         0.01        
2026-02-12   143        0.04         0.02        
2026-02-13   144        0.03         0.02        
2026-02-17   145        0.02         0.01        
2026-02-18   146        0.01         0.01        
2026-02-19   147        0.00         0.00        
2026-02-20   148        0.00         0.00        
